|    |Context      |Outcome             |Time             |Predictor                 | Estimate|    SE| P_value|
|:---|:------------|:-------------------|:----------------|:-------------------------|--------:|-----:|-------:|
|5   |T1 (Unknown) |Compliance          |Mean rounds 2-8  |Prior Beliefs Out-group   |    0.149| 0.087|   0.086|
|6   |T1 (Unknown) |Compliance          |Mean rounds 2-8  |Prior Beliefs In-group    |    0.233| 0.080|   0.003|
|7   |T1 (Unknown) |Compliance          |Mean rounds 2-8  |Trust Out-group           |   -0.007| 0.024|   0.763|
|8   |T1 (Unknown) |Compliance          |Mean rounds 2-8  |Conflict Out-group        |   -0.016| 0.023|   0.484|
|9   |T1 (Unknown) |Compliance          |Mean rounds 2-8  |Trust In-group            |    0.033| 0.027|   0.224|
|10  |T1 (Unknown) |Compliance          |Mean rounds 2-8  |Conflict In-group         |    0.022| 0.026|   0.401|
|11  |T1 (Unknown) |Compliance          |Mean rounds 2-8  |Observed Compliance (t−1) |    0.093| 0.033|   0.004|
|16  |T1 (Unknown) |Compliance          |Round 2          |Prior Beliefs Out-group   |    0.158| 0.094|   0.094|
|17  |T1 (Unknown) |Compliance          |Round 2          |Prior Beliefs In-group    |    0.286| 0.089|   0.001|
|18  |T1 (Unknown) |Compliance          |Round 2          |Trust Out-group           |   -0.028| 0.031|   0.358|
|19  |T1 (Unknown) |Compliance          |Round 2          |Conflict Out-group        |    0.007| 0.026|   0.800|
|20  |T1 (Unknown) |Compliance          |Round 2          |Trust In-group            |    0.072| 0.031|   0.020|
|21  |T1 (Unknown) |Compliance          |Round 2          |Conflict In-group         |    0.012| 0.033|   0.720|
|22  |T1 (Unknown) |Compliance          |Round 2          |Observed Compliance (t−1) |    0.089| 0.038|   0.020|
|27  |T1 (Unknown) |Compliance          |Round 3          |Prior Beliefs Out-group   |    0.200| 0.099|   0.043|
|28  |T1 (Unknown) |Compliance          |Round 3          |Prior Beliefs In-group    |    0.212| 0.095|   0.025|
